text,label
"It came by surprise. . .the impact & resoloution this film had on my automatic way of being reactive to people & situations. Most vividly was the stirring of the emotion anger. Much like the way a spoiled child would be when reacting to not getting their way. . .a temper tantrum if you will. Thinking I was hiding this anger from others was the most ridiculous farce of all. What was this costing me? Soooo much love. . .sooo many blessings. Now I'm present to how incredible humbling myself feels, and having an ongoing attitude of gratitude for life. . .for what is happening in the moment, without my wild expectations for life to be a particular way, the way I think life or people ""should"" be. This film has contributed to the freedom I now feel to connect with others, without limits & expectations. . .and to connect with genuine love. . .without fear of loss. . .just to love first, and accept what love is given.",1
"Normally, I am a pretty generous critic, but in the case of this film I have to say it was incredibly bad. I am stunned by how positive most reviews seem to be.<br /><br />There were some gorgeous shots, but it's too bad they were wasted on this sinkhole of a movie. It might have worked if ""Daggers"" was purely an action flick and not a romance, but unfortunately the film is built around an empty love triangle. There is no chemistry between either of the couples, whatever exists between Mei and her men seems to be more lust than love, and for the most part the dialogue is just silly. This may be just a problem with translation, but the frequent usage of the word ""flirt"" in particular reminded me of 8th grade, not head-over-heels, together forever, worth-dying-for love; I also felt we were beat over the head with the wind metaphor. The audience is given very little about the characters to really care about, and therefore very little emotional investment in the movie as a whole. I was wishing for a remote control to fast forward, I was slumped in my seat ready to snore, but mostly I just cringed a lot.<br /><br />*******spoiler*****<br /><br />Now, the icing on the cake. Or rather, adding insult to injury. The ending was truly one of the most horrible, laughable ones I have ever seen. The boys are having their stag fight and screaming and yelling and hacking at each other. Oh, and then it starts to snow. Randomly. Oh, and then Mei (dagger embedded in heart) suddenly pops up out of the weeds. Then she throws a dagger that seems to take about 5 minutes to reach it's destination, even slowing conveniently midscreen to hit a tiny blood droplet. Wow, cool.<br /><br />Well, then Mei dies finally I guess because she threw the dagger that was lodged in her chest and bled to death. Jin sings, sobs, holds her body close, screen goes blank. I, and the people surrounding me, are chuckling. Not a good sign.<br /><br />Visually stunning, but ultimately a failure.",0
"Last year we were treated to two movies about Truman Capote writing the book from which this film was made - Capote and Infamous.<br /><br />I cannot imagine a movie like this being made in 1967. A stark, powerful and chillingly brutal drama; elevated to the status of a film classic by the masterful direction of Richard Brooks (Elmer Gantry, Cat on a Hot Tin Roof, The professional, Blackboard Jungle).<br /><br />It is interesting that Robert Blake, who starred in this film, has had so many problems of late that may be related to his portrayal of a killer in this film.<br /><br />This is a film that stays with you after viewing.",1
"Worry not, Disney fans--this special edition DVD of the beloved Cinderella won't turn into a pumpkin at the strike of midnight. One of the most enduring animated films of all time, the Disney-fide adaptation of the gory Brothers Grimm fairy tale became a classic in its own right, thanks to some memorable tunes (including ""A Dream Is a Wish Your Heart Makes,"" ""Bibbidi-Bobbidi-Boo,"" and the title song) and some endearingly cute comic relief. The famous slipper (click for larger image) We all know the story--the wicked stepmother and stepsisters simply won't have it, this uppity Cinderella thinking she's going to a ball designed to find the handsome prince an appropriate sweetheart, but perseverance, animal buddies, and a well-timed entrance by a fairy godmother make sure things turn out all right. There are a few striking sequences of pure animation--for example, Cinderella is reflected in bubbles drifting through the air--and the design is rich and evocative throughout. It's a simple story padded here agreeably with comic business, particularly Cinderella's rodent pals (dressed up conspicuously like the dwarf sidekicks of another famous Disney heroine) and their misadventures with a wretched cat named Lucifer. There's also much harrumphing and exposition spouting by the King and the Grand Duke. It's a much simpler and more graceful work than the more frenetically paced animated films of today, which makes it simultaneously quaint and highly gratifying.",1
"This is some of the worst acting I have ever seen. I love Almereyda's Nadja, but this is just absolute dreck. Aside from a few moments of interesting cinematography and music this film is just nonstop bad acting and dumb material. Jared Harris is particularly bad, but no one in this is remotely good. The plot is a joke, but not the haha kind. I don't even know if you can forgive movies that are this bad. Please erase the last hour and a half of my life. How did this director make Nadja and Another Girl Another Planet?",0
"As part of the celebration of the release of Casino Royale, this film with the new Bond starring in it was shown, from director Roger Michell (Notting Hill). I almost turned it off for being a bit boring, but I'm glad I stuck with it. Basically May (Anne Reid) is a single mother of Helen (Anna Wilson-Jones) who hardly sees anyone and has not had a boyfriend in years. Her daughter says that she might want to get married to her new boyfriend, Darren (Daniel Craig, of course). After knowing each other only a few days, May and Darren have a secret affair. And at her age, with a 30-something, and the new Bond?! Anyway, they obviously want to keep it a secret, but May has regrets and wonders if Helen will find out. When she does, Darren gets less hassle than May. In fact, Helen asks her permission to hit her. Also starring Peter Vaughan as Toots, Danira Govich as Au Pair, Harry Michell as Harry, Rosie Michell as Rosie and Johnny English's Oliver Ford Davies as Bruce. Very good!",1
Indian cinema typifies cops of two broad categories: they are either the honest type or the bad guys. The honest guys always shout at the top of their voice and fight the system while the bad cops enjoy for most part but suffer at the end.<br /><br />This movie at least breaks this usual formula and gives a refreshing view of cops and their lives. The direction takes an inside look at the life of a young ambitious cop who. The music is interesting and the editing is a trend setter as far as Indian cinema goes.<br /><br />The movie is slow at times and the dilemma which Anbu faces when it comes to Maya is overplayed at times. But I would still give this one 9/10 simply because it has many firsts to its credit.,1
"if.... is the cinematic equivalent of Sgt. Pepper's: Revered by baby boomers as the pinnacle of creation, and viewed as rather a silly bit of business by preceding and subsequent generations. Now that the children of the middle classes the world over are seemingly super human due to the internet, and view the prospect of boarding school as a wonderful opportunity thanks to the Harry Potter books/films, the relevance of if.... couldn't be further from modern concern. In fact, many scenes appear so alien and exaggerated as to hint at an inspiration for Pink Floyd's The Wall.<br /><br />One should never hold personal bias against a film while reviewing, and the cemented date of this film aside, there are a few flaws which others have overlooked. Lindsay Anderson was known to be a fan of Luis Buñuel, on top of generally being too smart for his own good. And despite a straightforward narrative through the first and second acts, the latter portion of the piece it taken hostage by cod Buñuel surrealism and strained attempts at symbolism. Anderson wasn't capable of this feat due to his over-intelligent cynicism, failing to see that Buñuel was jovial in his work. I have not found a critic whom champions the 'Chaplain in a drawer', and am almost certain it still gets sideways looks from those who adore this film. The ending is not so much a concise punch to the established class/values system, as a wet slap on a moving target.<br /><br />The British public school system was firmly for the middle classes (the upper crust being educated at home by private tutors). And the modus operandi of if.... was to check the boxes of public school life which Lindsay believed had been unexplored in film, thereby savaging middle class pretense. Homosexuality, generational cutlery, cold showers et al. In reality, such issues HAD been covered in many other great British films, if.... merely brought them to the fore. The Browning Version was a more oblique damning of such pomp, to name but one.<br /><br />if.... is oddly quaint, and simply can not be viewed with modern (especially American) eyes. Kudos to Anderson for avoiding Mick and Kieth in favour of African chant, and a few brownie points for the latent homoerotic overtones. Points deducted for pretension, establishing characters who disappear, and inciting a glib revolution which came to naught.",0
"Pendragon Pictures' new film ""H G Wells' War of the Worlds"", the first faithful adaptation of the original novel, has been in development for about 5 years. A theatrical release was intended for earlier this year (March, 2005) but this never happened. The DVD was rushed out to coincide with the release of Spielberg's version, which hits theatres June 29.<br /><br />I liked this film, with certain reservations.<br /><br />How faithful is the adaptation? It's not quite 100% faithful to Wells' book, but 90 - 95% faithful is good enough for me. At least several scenes were totally new, such as Ogilvy the astronomer's confrontation with a farmer, and the unnamed writer/narrator awkwardly having tea with his cousin. But on the whole, this film follows the book very closely -- certainly much more than the classic 1953 version by George Pal.<br /><br />Its greatest fault is that it was obviously made on a very cheap budget. The majority of it seems to have been shot blue-screen and composited with digitally rendered backgrounds. This is particularly annoying during most of the interior shots, and scenes of crowded city streets. The overviews of 1898 London look like something from a video game. Numerous scenes in horse-carriages were faked -- I guess they couldn't afford to rent a horse. The only scenes shot for ""real"" seem to be those in open fields or forests.<br /><br />But within those budget restrictions, they managed to do quite a lot. Artistically, the film looks right. The Martians and their tripods are quite well done, and very true to Wells' descriptions. I was particularly impressed with the heat ray. Although the Thunder Child sequence, which should have been one of the film's highlights, is very disappointing. It's a great shame that they couldn't afford more actual sets, or better quality animation.<br /><br />The acting and direction won't win any Oscars. For the most part, they are competent, not bad, but not outstanding. The music is quite good also, though not on a par with any of the major Hollywood composers.<br /><br />I'm actually glad this didn't get a theatrical release, because the budget limitation would have made it look much worse on a big screen. As it stands, I would rate this similarly to a BBC-TV adaptation of classic literature.<br /><br />A few nitpicks: Most of the scenes are presented with various colored filters (mostly red). This may have been an artistic choice, but it is used very inconsistently, and seems more like a sloppy job of mastering the DVD. And the writer/narrator's obviously fake moustache mutates from scene to scene.<br /><br />Bottom line -- Is it worth seeing? If you can look past the technical and budgetary limitations, and get into the story, I think you will enjoy this, especially if you've actually read the original H G Wells novel. If, however, you are easily put off by cheap production values, you'd best pass on this (unless you're a MST3K fan). Be warned, however that the film runs a full 3 hours, so I don't recommend watching it all in one sitting.<br /><br />BTW: An entirely different version of War of the Worlds (aka ""INVASION"") came out on DVD the same month that Spielberg's hit the theatres: http://imdb.com/title/tt0449040/. This was also made on a budget, but is updated to the present day like the Spielberg film - but it's much better! And to top it off, Jeff Wayne is making an animated film of his best-selling album from 1978, but that won't be out until 2007.",1
"""The Good Earth"" is a great movie that you don't hear much about anymore. There are a lot of big disasters and events, but it is also a non-passionate love story. All of this happens in a little over two hours, which is short by today's standards. The special effects and costumes are very good for the time period.<br /><br />I am surprised that Luise Rainer received an Oscar for such a limiting role. She basically only has three emotions: submissive, hungry, and heart-broken.<br /><br />The performances by the Asian and Asian-American actors are terrific.<br /><br />",1
